Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
156;TA;SHS Net Inflow/Outflow;EUR;-22745.92;-22745.92;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2016;Z8719429;SCA;CONVERTIBLE STRATEGY COLLECTION S (A) EUR;DB2016Z8719429
157;TA;SHS Net Inflow/Outflow;EUR;55232.34;55232.34;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2016;Z8719429;SDI;CONVERTIBLE STRATEGY COLLECTION S (B) EUR;DB2016Z8719429
158;TA;SHS Net Inflow/Outflow;EUR;49863.38;49863.38;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2016;Z8719429;SHC;CONVERTIBLE STRATEGY COLLECTION S HDGD (A) EUR;DB2016Z8719429
159;TA;SHS Net Inflow/Outflow;EUR;84173.55;84173.55;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2016;Z8719429;SHD;CONVERTIBLE STRATEGY COLLECTION S HDGD (B) EUR;DB2016Z8719429
160;TA;SHS Net Inflow/Outflow;EUR;-126535.32;-126535.32;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2017;Z8719429;LCA;MEDIOLANUM CARMIGNAC STRATEGIC SELECTION L (A) EUR;DB2017Z8719429
161;TA;SHS Net Inflow/Outflow;EUR;-373368.72;-373368.72;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2017;Z8719429;SCA;MEDIOLANUM CARMIGNAC STRATEGIC SELECTION S (A) EUR;DB2017Z8719429
162;TA;SHS Net Inflow/Outflow;EUR;-63696.25;-63696.25;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2018;Z8719429;LCA;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT L (A) EUR;DB2017Z8719429
163;TA;SHS Net Inflow/Outflow;EUR;68344.5;68344.5;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2018;Z8719429;LDI;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT L (B) EUR;DB2017Z8719429
164;TA;SHS Net Inflow/Outflow;EUR;44187.12;44187.12;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2018;Z8719429;SCA;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT S (A) EUR;DB2017Z8719429
165;TA;SHS Net Inflow/Outflow;EUR;-302621.92;-302621.92;0;0;05/07/2016;06/07/2016;07/07/2016;06/07/2016;DB2018;Z8719429;SDI;MEDIOLANUM INVESCO BALANCED RISK CPN SELCT S (B) EUR;DB2017Z8719429
