Fund Custody Code / SARA code;CashFlow Type Id;CashFlow Type Description;Account Currency(ISO);Confirmed Amount Local ccy;Confirmed Amount Fund ccy;Projected Amount Local ccy;Projected Amount Fund ccy;Trade Date;Creation Date;Settlement Date;ReportDate;MF code;Fund Manager Identifier;Fund Administration Code;Fund name;External Fund Reference
93;TA;SHS Net Inflow/Outflow;EUR;0;0;18178.28;18178.28;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB4211;Z8719429;LCA;EQUITY POWER COUPONCOLLECTION L FD A;DB4211Z8719429
95;TA;SHS Net Inflow/Outflow;EUR;0;0;125139.37;125139.37;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5033;Z8719429;LCA;JP MORGAN GLOBAL SELECTION L FD A;DB5033Z8719429
96;TA;SHS Net Inflow/Outflow;EUR;0;0;212048.04;212048.04;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5034;Z8719429;LCA;MORGAN STANLEY GLOBAL SELECTION L FD A;DB5034Z8719429
97;TA;SHS Net Inflow/Outflow;EUR;0;0;58983.84;58983.84;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5032;Z8719429;LCA;BLACKROCK GLOBAL SELECTION L FD A;DB5032Z8719429
98;TA;SHS Net Inflow/Outflow;EUR;0;0;-19956.61;-19956.61;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5108;Z8719429;LCA;PREMIUM COUPON TION COLLEC L FD A;DB5108Z8719429
101;TA;SHS Net Inflow/Outflow;EUR;0;0;-7500;-7500;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2334;Z8719429;SCA;MEDIOLANUM ACTIVE 80 FUND;DB2334Z8719429
102;TA;SHS Net Inflow/Outflow;EUR;0;0;-47415.55;-47415.55;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2333;Z8719429;SCA;MEDIOLANUM ACTIVE 40 FUND;DB2333Z8719429
10S;TA;SHS Net Inflow/Outflow;EUR;0;0;-7352.94;-7352.94;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8812;Z8719429;SCA;CHALLENGE NORTH AMERICA EQUITY S FUND A RETAIL CLASS;DB8812Z8719429
110;TA;SHS Net Inflow/Outflow;EUR;0;0;7500;7500;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2330;Z8719429;SHC;MEDIOLANUM AGRESSIVE PLUS SH A UNITS;DB2330Z8719429
115;TA;SHS Net Inflow/Outflow;EUR;0;0;-2050;-2050;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2326;Z8719429;SA;MEDIOLANUM LIQUIDITY CLASS SA - A UNITS;DB2326Z8719429
118;TA;SHS Net Inflow/Outflow;EUR;0;0;-11933.88;-11933.88;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5355;Z8719429;LCA;FRANKLIN TEMPLETON EMERGING MARKETS SELECTION L;DB5355Z8719429
119;TA;SHS Net Inflow/Outflow;EUR;0;0;3212.09;3212.09;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5355;Z8719429;SCA;FRANKLIN TEMPLETON EMERGING MARKETS SELECTION S;DB5355Z8719429
120;TA;SHS Net Inflow/Outflow;EUR;0;0;-47966.58;-47966.58;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5356;Z8719429;LCA;PIMCO INFLATION STRATEGY SELECTION L;DB5356Z5970552
121;TA;SHS Net Inflow/Outflow;EUR;0;0;-199134.92;-199134.92;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5356;Z8719429;SCA;PIMCO INFLATION STRATEGY SELECTION S;DB5356Z5970552
122;TA;SHS Net Inflow/Outflow;EUR;0;0;19243.95;19243.95;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5357;Z8719429;LCA;DWS MEGATREND SELECTION L;DB5357Z8719429
123;TA;SHS Net Inflow/Outflow;EUR;0;0;-3744.06;-3744.06;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5357;Z8719429;LHC;DWS MEGATREND SELECTION L HEDGED;DB5357Z8719429
124;TA;SHS Net Inflow/Outflow;EUR;0;0;-32729.48;-32729.48;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5357;Z8719429;SCA;DWS MEGATREND SELECTION S;DB5357Z8719429
125;TA;SHS Net Inflow/Outflow;EUR;0;0;37107.48;37107.48;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5357;Z8719429;SHC;DWS MEGATREND SELECTION S HEDGED;DB5357Z8719429
126;TA;SHS Net Inflow/Outflow;EUR;0;0;4458.83;4458.83;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;LCA;COUPON STRATEGY COLLECTION L A EUR;DB5434Z8719429
127;TA;SHS Net Inflow/Outflow;EUR;0;0;-32360.42;-32360.42;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;LHC;COUPON STRATEGY COLLECTION L A HDGD EUR;DB5434Z8719429
128;TA;SHS Net Inflow/Outflow;EUR;0;0;4027.97;4027.97;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;SCA;COUPON STRATEGY COLLECTION S A EUR;DB5434Z8719429
129;TA;SHS Net Inflow/Outflow;EUR;0;0;75827.55;75827.55;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;SHC;COUPON STRATEGY COLLECTION S  A HDGD EUR;DB5434Z8719429
12S;TA;SHS Net Inflow/Outflow;EUR;0;0;73306.54;73306.54;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB8813;Z8719429;SCA;CHALLENGE EUROPEAN EQUITY S FUND A RETAIL CLASS;DB8813Z8719429
130;TA;SHS Net Inflow/Outflow;EUR;0;0;147257.96;147257.96;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;LDI;COUPON STRATEGY COLLECTION L B EUR;DB5434Z8719429
131;TA;SHS Net Inflow/Outflow;EUR;0;0;244605.07;244605.07;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;LHD;COUPON STRATEGY COLLECTION L B HDGD EUR;DB5434Z8719429
132;TA;SHS Net Inflow/Outflow;EUR;0;0;345041.83;345041.83;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;SDI;COUPON STRATEGY COLLECTION S B EUR;DB5434Z8719429
133;TA;SHS Net Inflow/Outflow;EUR;0;0;141921.82;141921.82;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB5434;Z8719429;SHD;COUPON STRATEGY COLLECTION S  B HDGD EUR;DB5434Z8719429
134;TA;SHS Net Inflow/Outflow;EUR;0;0;-74322.11;-74322.11;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2381;Z8719429;LCA;NEW OPPORTUNITIES COLLECTION L EUR;DB2381 Z8719429
135;TA;SHS Net Inflow/Outflow;EUR;0;0;-2731.02;-2731.02;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2381;Z8719429;LHC;NEW OPPORTUNITIES COLLECTION L HEDGED EUR;DB2381 Z8719429
136;TA;SHS Net Inflow/Outflow;EUR;0;0;-56392.78;-56392.78;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2381;Z8719429;SCA;NEW OPPORTUNITIES COLLECTION S EUR;DB2381 Z8719429
137;TA;SHS Net Inflow/Outflow;EUR;0;0;27898.11;27898.11;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2381;Z8719429;SHC;NEW OPPORTUNITIES COLLECTION S HEDGED EUR;DB2381 Z8719429
144;TA;SHS Net Inflow/Outflow;EUR;0;0;3757.95;3757.95;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;LCA;INFRASTRUCTURE OPPORTUNITY COLLECT L (A) EUR;DB2015Z8719429
145;TA;SHS Net Inflow/Outflow;EUR;0;0;13821.7;13821.7;05/07/2016;05/07/2016;07/07/2016;05/07/2016;DB2015;Z8719429;LDI;INFRASTRUCTURE OPPORTUNITY COLLECT L (B )EUR;DB2015Z8719429
