Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
12865;LU7554Z8787249;MEMEEMEMEM MMEM MEMEM-MEM EM EMMEME;18052016;19052016;012865VT01572000;;VT;SECURITIES SELL;N;THALES;EMEME ME;FR0000121329;EQUITIES;-2000;EUR;75.428;-150856;0;0;0;-150856;EXANFRPP;;
12865;LU7554Z8787249;MEMEEMEMEM MMEM MEMEM-MEM EM EMMEME;18052016;19052016;012865AT01135000;;AT;SECURITIES PURCHASE;N;MMM-MEEEM.MEMEMEMMEMME;MMEME MMMEEM MEMM EMM MMEMM MEMMEME;DE0005190003;EMEEMEEM;2500;EUR;83.9759;209939.75;0;0;0;209939.75;SBOSUS3C;;
628;DB8815Z8997924;MMEMMEMME EMEMEEM EMEEME;16052016;17052016;000628ATA8413000;;AT;SECURITIES PURCHASE;Y;MMM EMMEMMMEEM MEM MMM;MEEMMMME MEMM EM;NL0010545661;EMEEMEEM;-20000;EUR;50;-1000000;0;0;0;-1000000;DEUTDEFF;;
12865;LU7554Z8787249;MEMEEMEMEM MMEM MEMEM-MEM EM EMMEME;18052016;19052016;012865ET00018000;;ET;SECURITIES DIRECT ENTRY;N;MEMEMEM EMEMEE MME/MEMM.M-MM;;IT0003497176;EMEEMEEM;500;EUR;0;0;0;0;0;0;;;
12865;LU7554Z8787249;MEMEEMEMEM MMEM MEMEM-MEM EM EMMEME;18052016;19052016;012865ET00016000;;ET;SECURITIES DIRECT ENTRY;N;DNB ASA;;NO0010031479;EQUITIES;2000;NOK;0;0;0;0;0;0;;;
