Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
12865;LU7554Z8787249;MEDIOLANUM SPEC SICAV-SIF EQ INCOME;18052016;20052016;012865AT01143000;BFS#127033647/2167122;AT;SECURITIES PURCHASE;N;STATOIL ASA;STATE STREET BANK AND TRUST COMPANY;NO0010096985;EQUITIES;20000.000000;NOK;137.603000;2752060.00;3577.68;0.00;0.00;2755637.68;SBOSUS3C;;
14018;DB5356Z5970552;MEDIO PIMCO INFLATION STRAT SLTN;18052016;23052016;014018VT00644000;TAG 11257;VT;SECURITIES SELL;N;PIMCO GL H Y BD -INST-EURH/DIS;BROWN BROTHERS HARRIMAN + CO;IE00B0V9TC00;FUNDS;-845087.922000;EUR;12.260000;-10360777.92;0.00;0.00;0.00;-10360777.92;BBHCUS33;;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;13052016;18052016;000629VTA7667000;SWIFT#FYV4753/5493798;VT;SECURITIES SELL;N;EL PUERTO LIVERP.SAB DE CV-C1-;GOLDMAN SACHS & CO;MXP369181377;EQUITIES;-4500.000000;MXN;192.230000;-865035.00;778.53;0.00;0.00;-864256.47;GOLDUS33;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;13052016;18052016;000629VTA7668000;SWIFT#FYV4920/5493799;VT;SECURITIES SELL;N;GRUPO TELEVISA SAB/CERT.PAR.;GOLDMAN SACHS & CO;MXP4987V1378;EQUITIES;-13100.000000;MXN;95.620000;-1252622.00;1127.36;0.00;0.00;-1251494.64;GOLDUS33;LGIMGB2L;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;19052016;23052016;001780ATB3492000;SWIFT#03819900223060A;AT;SECURITIES PURCHASE;N;DCC;HSBC BANK PLC;IE0002424939;EQUITIES;221.000000;GBP;63.759800;14090.92;3.11;0.00;0.00;14234.94;MIDLGB22JAC;BGIAGB2L;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;19052016;23052016;001780ATB3490000;SWIFT#03819900223050A;AT;SECURITIES PURCHASE;N;DCC;INVESTMENT TECHNOLOGY GROUP LTD;IE0002424939;EQUITIES;82.000000;GBP;63.625000;5217.25;2.61;0.00;0.00;5272.03;ITGLIE21;BGIAGB2L;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;19052016;23052016;001780ATB3491000;SWIFT#03819900223070A;AT;SECURITIES PURCHASE;N;DCC;SOCIETE GENERALE LONDON BRANCH;IE0002424939;EQUITIES;82.000000;GBP;63.575000;5213.15;2.61;0.00;0.00;5267.89;SOGEGB22GBS;BGIAGB2L;
2228;LU4136Z5963527;GAMAX FUNDS JUNIOR;19052016;24052016;002228VTA2590000;BFS#127056852/A742799;VT;SECURITIES SELL;N;MEDIASET ESPANA --- SHS;GOLDMAN SACHS INTERNATIONAL;ES0152503035;EQUITIES;-60000.000000;EUR;11.616700;-697002.00;697.00;0.00;0.00;-696305.00;GSILGB2X;;
18001;DB6215Z9163418;EQUILIBRIUM 2;19052016;25052016;018001AT04034000;SWIFT#1J5674YTFQB8500;AT;SECURITIES PURCHASE;N;TRANSCANADA CORP;ITG CANADA CORP.,;CA89353D1078;EQUITIES;1800.000000;CAD;52.737100;94926.78;72.00;0.00;0.00;94998.78;ITGCCAT1;;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;13052016;18052016;000629VTA7665000;SWIFT#FYV4734/5493796;VT;SECURITIES SELL;N;GRUPO BIMBO SAB DE CV  A;GOLDMAN SACHS & CO;MXP495211262;EQUITIES;-18300.000000;MXN;54.350000;-994605.00;895.14;0.00;0.00;-993709.86;GOLDUS33;LGIMGB2L;
