Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;13052016;18052016;000629VTA7666000;SWIFT#FYV4742/5493797;VT;SECURITIES SELL;N;COCA-COLA FEMSA SAB DE CV L;GOLDMAN SACHS & CO;MXP2861W1067;EQUITIES;-6100.000000;MXN;147.806500;-901619.65;811.46;0.00;0.00;-900808.19;GOLDUS33;LGIMGB2L;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;19052016;23052016;001505ATA6566000;SWIFT#03820200109920A;AT;SECURITIES PURCHASE;N;GALP ENERGIA SGPS SA -B- SHRS;INSTINET EUROPE LIMITED;PTGAL0AM0009;EQUITIES;3786.000000;EUR;11.694300;44274.62;6.64;0.00;0.00;44281.26;ISNTGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;23052016;001506ATB0231000;SWIFT#03820500159070A;AT;SECURITIES PURCHASE;N;DCC;SOCIETE GENERALE LONDON BRANCH;IE0002424939;EQUITIES;99.000000;GBP;63.575000;6293.93;3.15;0.00;0.00;6360.02;SOGEGB22GBS;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;23052016;001506ATB0232000;SWIFT#03820500159060A;AT;SECURITIES PURCHASE;N;DCC;HSBC BANK PLC;IE0002424939;EQUITIES;268.000000;GBP;63.759800;17087.63;3.56;0.00;0.00;17262.07;MIDLGB22JAC;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;23052016;001506ATB0233000;SWIFT#03820500159050A;AT;SECURITIES PURCHASE;N;DCC;INVESTMENT TECHNOLOGY GROUP LTD;IE0002424939;EQUITIES;99.000000;GBP;63.625000;6298.88;3.15;0.00;0.00;6365.02;ITGLIE21;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;23052016;001506ATB0230000;SWIFT#03820500159040A;AT;SECURITIES PURCHASE;N;HOCHTIEF A.G.;HSBC BANK PLC;DE0006070006;EQUITIES;177.000000;EUR;109.577600;19395.24;2.91;0.00;0.00;19398.15;MIDLGB22JAC;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506VTB2901000;SWIFT#03820500159080A;VT;SECURITIES SELL;N;INTERVAL LEISURE G/WHEN ISSUED;JEFFERIES LLC;US46113M1080;EQUITIES;-6079.000000;USD;13.629700;-82854.95;18.24;0.00;0.00;-82834.90;JEFFUS33;BGIAGB2L;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;19052016;24052016;001780VTC5004000;SWIFT#03819900223080A;VT;SECURITIES SELL;N;INTERVAL LEISURE G/WHEN ISSUED;CREDIT SUISSE SECURITIES (USA) LLC;US46113M1080;EQUITIES;-50.000000;USD;13.530000;-676.50;0.13;0.00;0.00;-676.35;CSFBUS33;BGIAGB2L;
16415;DB3787Z5934375;CHALLENGE FINANCIAL EQUITY FUND 4;18052016;20052016;016415AT01276000;BFS#127038564/300342;AT;SECURITIES PURCHASE;N;AVIVA PLC;BNP PARIBAS SECURITIES SERVICES;GB0002162385;EQUITIES;122007.000000;GBP;4.320800;527172.48;0.00;0.00;0.00;530600.10;PARBGB2L;;
16415;DB3787Z5934375;CHALLENGE FINANCIAL EQUITY FUND 4;18052016;20052016;016415AT01277000;BFS#127038565/300343;AT;SECURITIES PURCHASE;N;HSBC HOLDINGS PLC;BNP PARIBAS SECURITIES SERVICES;GB0005405286;EQUITIES;78687.000000;GBP;4.348700;342186.94;0.00;0.00;0.00;344412.15;PARBGB2L;;
16415;DB3787Z5934375;CHALLENGE FINANCIAL EQUITY FUND 4;18052016;20052016;016415AT01278000;BFS#127038566/300344;AT;SECURITIES PURCHASE;N;PROVIDENT FINANCIAL;BNP PARIBAS SECURITIES SERVICES;GB00B1Z4ST84;EQUITIES;6053.000000;GBP;28.607400;173161.05;0.00;0.00;0.00;174287.60;PARBGB2L;;
16415;DB3787Z5934375;CHALLENGE FINANCIAL EQUITY FUND 4;18052016;20052016;016415AT01279000;BFS#127038567/300345;AT;SECURITIES PURCHASE;N;HARGREAVES LANSDOWN PLC;BNP PARIBAS SECURITIES SERVICES;GB00B1VZ0M25;EQUITIES;10729.000000;GBP;12.953100;138974.00;0.00;0.00;0.00;139878.33;PARBGB2L;;
18001;DB6215Z9163418;EQUILIBRIUM 2;18052016;23052016;018001VT01148000;SWIFT#1J565V0Y33ZV000;VT;SECURITIES SELL;N;TUPRAS TURKIYE PETROL RAFINEL;YAPI VE KREDI BANKASI A.S.;TRATUPRS91E8;EQUITIES;-940.000000;TRY;63.978400;-60139.70;60.14;0.00;0.00;-60079.56;YAPITRISINV;;
18001;DB6215Z9163418;EQUILIBRIUM 2;19052016;23052016;018001VT01152000;SWIFT#1J5674YP1BPG200;VT;SECURITIES SELL;N;GS HOLDINGS CORP;ITG AUSTRALIA LIMITED;KR7078930005;EQUITIES;-325.000000;KRW;50999.686200;-16574898.00;11602.00;0.00;0.00;-16513571.00;ITGAAU31;;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;19052016;24052016;001509ATA8880000;SWIFT#03820400143630A;AT;SECURITIES PURCHASE;N;TERUMO CORP.;CREDIT SUISSE FIRST BOSTON;JP3546800008;EQUITIES;1700.000000;JPY;4395.000000;7471500.00;1120.00;0.00;0.00;7472620.00;CSFBHKHX;BGIAGB2L;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;19052016;24052016;001509ATA8881000;SWIFT#03820400143640A;AT;SECURITIES PURCHASE;N;OLYMPUS CORP;CREDIT SUISSE FIRST BOSTON;JP3201200007;EQUITIES;1700.000000;JPY;4362.500000;7416250.00;1112.00;0.00;0.00;7417362.00;CSFBHKHX;BGIAGB2L;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;19052016;24052016;001509ATA8882000;SWIFT#03820400143650A;AT;SECURITIES PURCHASE;N;KDDI CORP.;CREDIT SUISSE FIRST BOSTON;JP3496400007;EQUITIES;2400.000000;JPY;3084.000000;7401600.00;1110.00;0.00;0.00;7402710.00;CSFBHKHX;BGIAGB2L;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;19052016;24052016;001510ATB1894000;SWIFT#03820300178420A;AT;SECURITIES PURCHASE;N;SUMITOMO MITSUI FINANC.GR;CREDIT SUISSE FIRST BOSTON;JP3890350006;EQUITIES;2600.000000;JPY;3495.653800;9088700.00;1362.00;0.00;0.00;9090062.00;CSFBHKHX;BGIAGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;19052016;24052016;000629VTA7664000;SWIFT#FYU0467/5492910;VT;SECURITIES SELL;N;MALAYAN BANKING BERHAD;GOLDMAN SACHS INTERNATIONAL;MYL1155OO000;EQUITIES;-45000.000000;MYR;8.499600;-382482.00;229.49;0.00;0.00;-381925.15;GSILGB2X;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;19052016;23052016;000629VTA7663000;SWIFT#FYS0307/5492487;VT;SECURITIES SELL;N;SAMSUNG ELECTRONICS CO LTD;GOLDMAN SACHS INTERNATIONAL;KR7005930003;EQUITIES;-112.000000;KRW;1269652.037600;-142201028.00;42650.00;0.00;0.00;-141731776.00;GSILGB2X;LGIMGB2L;
12536;DB8813Z5965004;CHALLENGE EUROPEAN EQUITY MGR;18052016;20052016;012536AT01555000;;AT;SECURITIES PURCHASE;N;MICHELIN  B  /NOM.;KEPLER EQUITIES;FR0000121261;EQUITIES;8300.000000;EUR;86.385600;717000.48;717.00;0.00;0.00;719151.48;JBBRFRPP;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;18052016;20052016;000628ATA8455000;BFS#127033949/2167126;AT;SECURITIES PURCHASE;N;INTESA SANPAOLO SPA;INTERMONTE SIM SPA;IT0000072618;EQUITIES;400000.000000;EUR;2.238400;895360.00;895.36;895.38;0.00;897150.74;INTSITM1;;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;19052016;23052016;000629ATA8715000;SWIFT#FYS0269/5492474;AT;SECURITIES PURCHASE;N;SK;GOLDMAN SACHS INTERNATIONAL;KR7034730002;EQUITIES;325.000000;KRW;222076.614700;72174900.00;21650.00;0.00;0.00;72196550.00;GSILGB2X;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;23052016;000629ATA8712000;SWIFT#FYQ7190/5491355;AT;SECURITIES PURCHASE;N;VIPSHOP HLDG SP ADRREPR1/5TH;CREDIT SUISSE SECURITIES (USA) LLC;US92763W1036;EQUITIES;5000.000000;USD;10.722300;53611.50;16.08;0.00;0.00;53627.58;CSFBUS33;LGIMGB2L;
640;DB8812Z9397076;CHALLENGE NORTH AMERICA;17052016;20052016;000640VTA8176000;SWIFT#FYQ2068/5490432;VT;SECURITIES SELL;N;CHARTER COMMUNICATIONS;CREDIT SUISSE SECURITIES (USA) LLC;US16117M3051;EQUITIES;-12526.000000;USD;203.360000;-2547287.36;764.19;0.00;0.00;-2546467.63;CSFBUS33;LGIMGB2L;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;18052016;20052016;000628ATA8453000;BFS#127033947/2167112;AT;SECURITIES PURCHASE;N;ANIMA HOLDING S.P.A.;MEDIOBANCA SPA;IT0004998065;EQUITIES;50000.000000;EUR;5.273100;263655.00;263.66;263.66;0.00;264182.32;BAMEITMM;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;18052016;20052016;000628ATA8454000;BFS#127033948/2167119;AT;SECURITIES PURCHASE;N;BCA POPOLARE EMILIA ROMAGNA;EQUITA SIM S.P.A., MILANO;IT0000066123;EQUITIES;200000.000000;EUR;4.530500;906100.00;906.10;906.11;0.00;907912.21;EMSIITM1;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;18052016;20052016;000628VTA9312000;BFS#127033951/2165845;VT;SECURITIES SELL;N;UNIONE DI BANCHE ITALIANE SCPA;BANCA MEDIOLANUM;IT0003487029;EQUITIES;-100000.000000;EUR;3.281800;-328180.00;229.73;0.00;0.00;-327950.27;MEDBITMM;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;18052016;20052016;000628ATA8456000;BFS#127033950/2167130;AT;SECURITIES PURCHASE;N;MEDIOBANCA BCA CREDITO FINANZ.;BANCA MEDIOLANUM;IT0000062957;EQUITIES;100000.000000;EUR;6.585600;658560.00;460.99;658.56;0.00;659679.55;MEDBITMM;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;18052016;20052016;000628ATA8457000;BFS#127033952/2167105;AT;SECURITIES PURCHASE;N;YOOX S.P.A;EQUITA SIM S.P.A., MILANO;IT0003540470;EQUITIES;30000.000000;EUR;24.464000;733920.00;733.92;733.92;0.00;735387.84;EMSIITM1;;
12865;LU7554Z8787249;MEDIOLANUM SPEC SICAV-SIF EQ INCOME;18052016;20052016;012865VT01581000;BFS#127033646/2166704;VT;SECURITIES SELL;N;AIRBUS GROUP SE;DEUTSCHE BANK AG;NL0000235190;EQUITIES;-6800.000000;EUR;53.008300;-360456.44;648.82;0.00;0.00;-359807.62;DEUTGB22EEQ;;
1782;DB4221Z5965004;CHALLENGE SPAIN EQUITY FD;18052016;23052016;001782ATA2316000;;AT;SECURITIES PURCHASE;N;DISTRIBUIDORA INTL;BNP PARIBAS SECURITIES SERVICES;ES0126775032;EQUITIES;160000.000000;EUR;5.250500;840080.00;13.40;0.00;0.00;840933.48;PARBESMX;;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0223000;SWIFT#03820500158850A;AT;SECURITIES PURCHASE;N;ORIENTAL LAND CO LTD;CREDIT SUISSE FIRST BOSTON;JP3198900007;EQUITIES;1800.000000;JPY;7325.083300;13185150.00;1976.00;0.00;0.00;13187126.00;CSFBHKHX;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0224000;SWIFT#03820500158900A;AT;SECURITIES PURCHASE;N;RECRUIT HOLDINGS CO.LTD.;J.P. MORGAN SECURITIES PLC;JP3970300004;EQUITIES;6500.000000;JPY;3629.829200;23593890.00;3538.00;0.00;0.00;23597428.00;JPMSGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;18052016;23052016;001506ATB0211000;SWIFT#03820500158700A;AT;SECURITIES PURCHASE;N;AERCAP HOLDINGS NV;UBS AG STAMFORD BRANCH;NL0000687663;EQUITIES;6668.000000;USD;37.800000;252050.40;20.00;0.00;0.00;252070.40;UBSWUS33;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0225000;SWIFT#03820500158880A;AT;SECURITIES PURCHASE;N;HOSHIZAKI EL;J.P. MORGAN SECURITIES PLC;JP3845770001;EQUITIES;900.000000;JPY;9944.444400;8950000.00;1341.00;0.00;0.00;8951341.00;JPMSGB2L;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0228000;SWIFT#03820500158890A;AT;SECURITIES PURCHASE;N;SMC CORP;CREDIT SUISSE FIRST BOSTON;JP3162600005;EQUITIES;500.000000;JPY;27371.000000;13685500.00;2052.00;0.00;0.00;13687552.00;CSFBHKHX;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0229000;SWIFT#03820500158870A;AT;SECURITIES PURCHASE;N;NIDEC CORP;CREDIT SUISSE FIRST BOSTON;JP3734800000;EQUITIES;800.000000;JPY;8438.000000;6750400.00;1012.00;0.00;0.00;6751412.00;CSFBHKHX;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0226000;SWIFT#03820500158860A;AT;SECURITIES PURCHASE;N;SEIBU HOLDINGS INC;CREDIT SUISSE FIRST BOSTON;JP3417200007;EQUITIES;3200.000000;JPY;2132.718800;6824700.00;1023.00;0.00;0.00;6825723.00;CSFBHKHX;BGIAGB2L;
1506;DB3789Z9173803;CHALLENGE CYCLICAL FD;19052016;24052016;001506ATB0227000;SWIFT#03820500158840A;AT;SECURITIES PURCHASE;N;MITSUBISHI CORP;CREDIT SUISSE FIRST BOSTON;JP3898400001;EQUITIES;10000.000000;JPY;1930.595000;19305950.00;2895.00;0.00;0.00;19308845.00;CSFBHKHX;BGIAGB2L;
1782;DB4221Z5965004;CHALLENGE SPAIN EQUITY FD;18052016;23052016;001782VTA1675000;;VT;SECURITIES SELL;N;GAS NATURAL SDG /SPLIT ISSUE;BANCO BILBAO VIZCAYA ARGENTARIA SA;ES0116870314;EQUITIES;-35000.000000;EUR;17.091700;-598209.50;598.21;0.00;0.00;-597611.29;BBVAESMM;;
2229;LU4133Z5963527;GAMAX FUNDS - ASIA PACIFIC;19052016;23052016;002229ATA2067000;BFS#127025854/A742682;AT;SECURITIES PURCHASE;N;KT CORPORATION;DEUTSCHE SECURITIES KOREA CO;KR7030200000;EQUITIES;1048.000000;KRW;31798.377900;33324700.00;41650.00;0.00;0.00;33366350.00;DSALKRS1;;
2228;LU4136Z5963527;GAMAX FUNDS JUNIOR;18052016;20052016;002228ATA2439000;BFS#127026010/A742658;AT;SECURITIES PURCHASE;N;BRITISH LAND CO PLC R.E.I.T;GOLDMAN SACHS INTERNATIONAL;GB0001367019;EQUITIES;80000.000000;GBP;7.194200;575536.00;575.54;2880.56;0.00;578993.10;GSILGB2X;;
14018;DB5356Z5970552;MEDIO PIMCO INFLATION STRAT SLTN;18052016;23052016;014018AT00576000;TAG 11256;AT;SECURITIES PURCHASE;N;PIM GLB EU SHT-INST INC II EUR;BROWN BROTHERS HARRIMAN + CO;IE00BD3CPK86;FUNDS;736134.200000;EUR;10.000000;7361342.00;0.00;0.00;0.00;7361342.00;BBHCUS33;;
14018;DB5356Z5970552;MEDIO PIMCO INFLATION STRAT SLTN;18052016;23052016;014018AT00577000;TAG 11258;AT;SECURITIES PURCHASE;N;PIM GLB EU SHT-INST INC II EUR;BROWN BROTHERS HARRIMAN + CO;IE00BD3CPK86;FUNDS;400000.000000;EUR;10.000000;4000000.00;0.00;0.00;0.00;4000000.00;BBHCUS33;;
