Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;17052016;20052016;010959VT02426000;BFS#126963269/00000000337305;VT;SECURITIES SELL;N;OTSUKA CORP;INSTINET EUROPE LIMITED;JP3188200004;EQUITIES;-5400.000000;JPY;5340.300000;-28837620.00;37488.00;0.00;0.00;-28800132.00;ISNTGB2L;;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;17052016;20052016;010959VT02427000;BFS#126963271/00000000337307;VT;SECURITIES SELL;N;NISSAN MOTOR CO.LTD;INSTINET EUROPE LIMITED;JP3672400003;EQUITIES;-22700.000000;JPY;1042.260000;-23659302.00;30757.00;0.00;0.00;-23628545.00;ISNTGB2L;;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;20052016;000629VTA7659000;SWIFT#FYL8400/5490295;VT;SECURITIES SELL;N;CHINA AUTO RENTAL INC;GOLDMAN SACHS INTERNATIONAL;KYG190211071;EQUITIES;-60000.000000;HKD;7.959600;-477576.00;143.27;0.00;0.00;-476917.96;GSILGB2X;LGIMGB2L;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;13052016;18052016;000629VTA7661000;SWIFT#FYP1708/5483886;VT;SECURITIES SELL;N;ISHARES MSCI UAE CAPPED/DIS;CREDIT SUISSE SECURITIES (USA) LLC;US46434V7617;FUNDS;-12000.000000;USD;16.490000;-197880.00;98.94;0.00;0.00;-197781.06;CSFBUS33;LGIMGB2L;
640;DB8812Z9397076;CHALLENGE NORTH AMERICA;17052016;20052016;000640ATA4899000;SWIFT#FYO6974/5489353;AT;SECURITIES PURCHASE;N;DIGITAL RLTY TR INC;CREDIT SUISSE SECURITIES (USA) LLC;US2538681030;EQUITIES;8000.000000;USD;95.160700;761285.60;228.39;0.00;0.00;761513.99;CSFBUS33;LGIMGB2L;
16415;DB3787Z5934375;CHALLENGE FINANCIAL EQUITY FUND 4;17052016;20052016;016415AT01273000;BFS#126975775/300327;AT;SECURITIES PURCHASE;N;BANCO SANTANDER --- REG.SHS;BNP PARIBAS SECURITIES SERVICES;ES0113900J37;EQUITIES;107353.000000;EUR;4.060400;435896.12;0.00;0.00;0.00;436549.96;PARBGB2L;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;17052016;19052016;000628VTA9308000;BFS#126965367/2149933;VT;SECURITIES SELL;N;ENEL;INTERMONTE SIM SPA;IT0003128367;EQUITIES;-200000.000000;EUR;3.989400;-797880.00;797.88;0.00;0.00;-797082.12;INTSITM1;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;17052016;19052016;000628VTA9309000;BFS#126965369/2149929;VT;SECURITIES SELL;N;UNICREDIT AZ;BANCA MEDIOLANUM;IT0004781412;EQUITIES;-200000.000000;EUR;2.903400;-580680.00;406.48;0.00;0.00;-580273.52;MEDBITMM;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;17052016;19052016;000628VTA9307000;BFS#126965366/2149911;VT;SECURITIES SELL;N;BCA POPOLARE DI MILANO;BANCA MEDIOLANUM;IT0000064482;EQUITIES;-216667.000000;EUR;0.520600;-112796.84;78.96;0.00;0.00;-112717.88;MEDBITMM;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;17052016;19052016;000628VTA9310000;BFS#126965370/2149540;VT;SECURITIES SELL;N;UNICREDIT AZ;BANCA MEDIOLANUM;IT0004781412;EQUITIES;-200000.000000;EUR;2.925900;-585180.00;409.63;0.00;0.00;-584770.37;MEDBITMM;;
628;DB8815Z8997924;CHALLENGE ITALIAN EQUITY;17052016;19052016;000628VTA9311000;BFS#126965371/2150133;VT;SECURITIES SELL;N;UNICREDIT AZ;INTERMONTE SIM SPA;IT0004781412;EQUITIES;-350000.000000;EUR;2.796900;-978915.00;978.91;0.00;0.00;-977936.09;INTSITM1;;
629;DB8816Z9397076;CHALLENGE EMERGING MARKET EQUITY;18052016;20052016;000629ATA8710000;SWIFT#FYN3998/5490474;AT;SECURITIES PURCHASE;N;TATA MOTORS;GOLDMAN SACHS (INDIA) SECURITIES;INE155A01022;EQUITIES;11000.000000;INR;384.616400;4230780.40;3384.62;0.00;0.00;4238886.79;GSISINB1;LGIMGB2L;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958AT05427000;BFS#126963276/00000000337312;AT;SECURITIES PURCHASE;N;CENTRAL JAPAN RAILWAY CO;INSTINET EUROPE LIMITED;JP3566800003;EQUITIES;21300.000000;JPY;19196.790000;408891627.00;531559.00;0.00;0.00;409423186.00;ISNTGB2L;;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958AT05428000;BFS#126963279/00000000337315;AT;SECURITIES PURCHASE;N;M3 INC;INSTINET EUROPE LIMITED;JP3435750009;EQUITIES;125500.000000;JPY;3279.660000;411597330.00;535076.00;0.00;0.00;412132406.00;ISNTGB2L;;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958AT05429000;BFS#126963281/00000000337317;AT;SECURITIES PURCHASE;N;SECOM LTD;INSTINET EUROPE LIMITED;JP3421800008;EQUITIES;47100.000000;JPY;8658.980000;407837958.00;530189.00;0.00;0.00;408368147.00;ISNTGB2L;;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958VT02952000;BFS#126963270/00000000337306;VT;SECURITIES SELL;N;NISSAN MOTOR CO.LTD;INSTINET EUROPE LIMITED;JP3672400003;EQUITIES;-323400.000000;JPY;1042.260000;-337066884.00;438186.00;0.00;0.00;-336628698.00;ISNTGB2L;;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958VT02953000;BFS#126963272/00000000337308;VT;SECURITIES SELL;N;DAI-ICHI LIFE INSURANCE CO LTD;INSTINET EUROPE LIMITED;JP3476480003;EQUITIES;-199300.000000;JPY;1297.960000;-258683428.00;336288.00;0.00;0.00;-258347140.00;ISNTGB2L;;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;17052016;20052016;010959AT03129000;BFS#126963275/00000000337311;AT;SECURITIES PURCHASE;N;ANA HOLDINGS INC;INSTINET EUROPE LIMITED;JP3429800000;EQUITIES;85000.000000;JPY;326.540000;27755900.00;36082.00;0.00;0.00;27791982.00;ISNTGB2L;;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958VT02950000;BFS#126963266/00000000337302;VT;SECURITIES SELL;N;KONAMI HLDS SHS;INSTINET EUROPE LIMITED;JP3300200007;EQUITIES;-168800.000000;JPY;3548.040000;-598909152.00;778581.00;0.00;0.00;-598130571.00;ISNTGB2L;;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;17052016;20052016;010958VT02951000;BFS#126963268/00000000337304;VT;SECURITIES SELL;N;OTSUKA CORP;INSTINET EUROPE LIMITED;JP3188200004;EQUITIES;-79600.000000;JPY;5340.300000;-425087880.00;552614.00;0.00;0.00;-424535266.00;ISNTGB2L;;
10959;DB8825Z5987475;CHALLENGE PROVIDENT FUND 2;17052016;20052016;010959AT03130000;BFS#126963277/00000000337313;AT;SECURITIES PURCHASE;N;CENTRAL JAPAN RAILWAY CO;INSTINET EUROPE LIMITED;JP3566800003;EQUITIES;1500.000000;JPY;19196.790000;28795185.00;37433.00;0.00;0.00;28832618.00;ISNTGB2L;;
12865;LU7554Z8787249;MEDIOLANUM SPEC SICAV-SIF EQ INCOME;17052016;19052016;012865AT01142000;BFS#126964965/2149685;AT;SECURITIES PURCHASE;N;ARKEMA;GOLDMAN SACHS INTERNATIONAL;FR0010313833;EQUITIES;3000.000000;EUR;71.758600;215275.80;387.50;430.55;0.00;216093.85;GSILGB2X;;
12865;LU7554Z8787249;MEDIOLANUM SPEC SICAV-SIF EQ INCOME;17052016;19052016;012865VT01580000;BFS#126964966/2149519;VT;SECURITIES SELL;N;PEUGEOT SA;EXANE SA;FR0000121501;EQUITIES;-21000.000000;EUR;13.288600;-279060.60;418.59;0.00;0.00;-278642.01;EXANFRPP;;
14018;DB5356Z5970552;MEDIO PIMCO INFLATION STRAT SLTN;17052016;20052016;014018VT00642000;TAG 11254;VT;SECURITIES SELL;N;PIMCO GL H Y BD -INST-EURH/DIS;BROWN BROTHERS HARRIMAN + CO;IE00B0V9TC00;FUNDS;-586223.165000;EUR;12.260000;-7187096.00;0.00;0.00;0.00;-7187096.00;BBHCUS33;;
