Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Settlement Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Broker Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Brokerage;Tax;Expenses;Net Amount;Broker BIC Code;Fund Manager BIC Code;Bloomberg Code
1780;DB4223Z9173803;MMEMMEMME EMMM EMEEME;05/09/2016;07/09/2016;001780VTC5400000;;VT;SECURITIES SELL;N;BARCLAYS PLC;MEMEMMEEM MMEMEM MEMMEMM MEMEMEM;GB0031348658;EQUITIES;-1200.000000;GBP;1.869900;-2243.88;3.00;1.00;0.00;-2239.88;SBILGB2L;BGIAGB2L;
14018;DB5356Z5970552;MEMEE MEMME EMMMEMEEM MMMEM MMMM;05/09/2016;07/09/2016;014018AT00582000;;AT;SECURITIES PURCHASE;N;PIM GLB EU SHT-INST INC II EUR;MMEMM MMEMMEMM MEMMEMEM + ME;IE00BD3CPK86;FUNDS;1139000.000000;EUR;10.000000;11390000.00;0.00;0.00;0.00;11390000.00;BBHCUS33;;
628;DB8815Z8997924;MMEMMEMME EMEMEEM EMEEME;05/09/2016;07/09/2016;000628ATA8612000;;AT;SECURITIES PURCHASE;N;FINECOBANK S.P.A;EMMEM MEMM MME;IT0000072170;EQUITIES;100000.000000;EUR;5.554500;555450.00;277.73;277.73;0.00;556005.46;AKROITMM;;
626;DB8813Z9173803;MMEMMEMME EEMEMEEM EMEEME;05/09/2016;07/09/2016;000626ATA9438000;;AT;SECURITIES PURCHASE;N;ACCOR SA;EMMMEMEM EEMEME MEMEMEM;FR0000120404;EQUITIES;18.000000;EUR;37.777800;680.00;0.00;0.00;0.00;680.00;ISNTGB2L;BGIAGB2L;
626;DB8813Z9173803;MMEMMEMME EEMEMEEM EMEEME;05/09/2016;07/09/2016;000626ATA9439000;;AT;SECURITIES PURCHASE;N;L U ETF W WAT D EUR;MEMMMEM MEMMM EMMEMMEMEEMEM;FR0010527275;FUNDS;8663.000000;EUR;34.700000;300606.10;90.18;0.00;0.00;300696.28;GSILGB2X;BGIAGB2L;
1780;DB4223Z9173803;MMEMMEMME EMMM EMEEME;05/09/2016;07/09/2016;001780ATB3617000;;AT;SECURITIES PURCHASE;N;BARCLAYS PLC;MEMEMMEEM MMEMEM MEMMEMM MEMEMEM;GB0031348658;EQUITIES;31922.000000;GBP;1.869500;59678.18;9.95;0.00;0.00;59688.13;SBILGB2L;BGIAGB2L;
