M4    796578    XS1053939978202107302021073051377150                     RTITVSSBMI   0370000000000006+0000000305500006+0000000000000006+0000000000000006+0000000000000002+0000011303500002+0000011303500002+EUR0000011303500002+0000011303500002+EUR0000000010000006+0000000000000002+0000000000000002+0000000000000002+          
M4    796577    XS1034421419202107302021073051377203                     RTITVSSBMI   0100000000000006+0000000294500006+0000000000000006+0000000000000006+0000000000000002+0000002945000002+0000002945000002+EUR0000002945000002+0000002945000002+EUR0000000010000006+0000000000000002+0000000000000002+0000000000000002+          
M6    788928    IT0005413684202107302021080351377174    10892988         VTITVBNP     0015000000000006+0000001014410006+0000000000000006+0000000000000006+0000000002100902+0000001523715902+0000001521615002+EUR0000001523715902+0000001521615002+EUR0000000010000006+0000000000000002+0000000000000002+0000000000000002+          
M4    748170    XS1571399754202107302021080351392619    10893147         VTITVBCP     0027000000000006+0000001020100006+0000000000000006+0000000000000006+0000000068568752+0000002822838752+0000002754270002+USD0000002822838752+0000002754270002+USD0000000010000006+0000000000000002+0000000000000002+0000000000000002+          
