C Id Isin;Consolidated;Fund Code;Fund name;Date Nav;Code Share;Outstanding;Nav Net;Quantity Outstanding;Price Share;NAV PREC;AGE_VAR_NAV PERC;P SHARE IN ITL;C Ccy;H Valid;ZWIST J;A Actual Zwist;C N Id;Income Equalization (code 1 or 2 or 3)
IE00BYVXS451;DB3012;DB6330;EUROPEAN COUPON STRATEGY COLLECTION;20-SEP-2021;LHC;30434201.81;287457661.31;5226575.666;5.823;5.824;-0.;;EUR;0920151540;;;215830000000;1
IE00BYVXS568;DB3012;DB6330;EUROPEAN COUPON STRATEGY COLLECTION;20-SEP-2021;LHD;35117807.89;287457661.31;6969681.125;5.039;5.04;-0.;;EUR;0920151540;;;215831000000;1
IE00BYVXS675;DB3012;DB6330;EUROPEAN COUPON STRATEGY COLLECTION;20-SEP-2021;SCA;16540464.83;287457661.31;1443724.893;11.457;11.462;-0.;;EUR;0920151540;;;215832000000;1
IE00BYVXS782;DB3012;DB6330;EUROPEAN COUPON STRATEGY COLLECTION;20-SEP-2021;SDI;49948176.79;287457661.31;5033210.465;9.924;9.928;-0.;;EUR;0920151540;;;215833000000;1
IE00BYVXS899;DB3012;DB6330;EUROPEAN COUPON STRATEGY COLLECTION;20-SEP-2021;SHC;10740943.41;287457661.31;934851.973;11.489;11.493;-0.;;EUR;0920151540;;;215834000000;1
IE00BYVXS907;DB3012;DB6330;EUROPEAN COUPON STRATEGY COLLECTION;20-SEP-2021;SHD;44494988.32;287457661.31;4472451.726;9.949;9.951;-0.;;EUR;0920151540;;;215835000000;1
IE0005372184;DB3012;DB3014;US COLLECTION;20-SEP-2021;LCA;366796303.00;523529425.81;37256106.178;9.845;9.902;-0.01;;EUR;0920174816;;;54243000000;1
IE00B04KP338;DB3012;DB3014;US COLLECTION;20-SEP-2021;LHC;82495259.49;523529425.81;8070548.211;10.222;10.304;-0.01;;EUR;0920174816;;;152174000000;1
IE0009623822;DB3012;DB3014;US COLLECTION;20-SEP-2021;SCA;49963041.22;523529425.81;3305024.202;15.117;15.204;-0.01;;EUR;0920174816;;;54252000000;1
IE00B02YQ901;DB3012;DB3014;US COLLECTION;20-SEP-2021;SHC;24274822.10;523529425.81;1281127.674;18.948;19.101;-0.01;;EUR;0920174816;;;152173000000;1
IE0004621052;DB8810;DB3785;CHALLENGE TECHNOLOGY EQUITY EVO;20-SEP-2021;LCA;1694052087.88;1762883630.11;172157978.695;9.84;9.905;-0.01;;EUR;0920141213;;;52052000000;1
IE0004621276;DB8810;DB3785;CHALLENGE TECHNOLOGY EQUITY EVO;20-SEP-2021;SCA;68831542.23;1762883630.11;3010541.323;22.864;23.015;-0.01;;EUR;0920141213;;;52056000000;1
IE0032080495;DB3012;DB4210;DYNAMIC COLLECTION;20-SEP-2021;LCA;77567334.75;273746118.96;8835469.872;8.779;8.782;-0.;;EUR;0920142206;;;97829000000;1
