C Id Isin;Consolidated;Fund Code;Fund name;Date Nav;Code Share;Outstanding;Nav Net;Quantity Outstanding;Price Share;NAV PREC;AGE_VAR_NAV PERC;P SHARE IN ITL;C Ccy;H Valid;ZWIST J;A Actual Zwist;C N Id;Income Equalization (code 1 or 2 or 3)
IE00B60DM373;DB8810;DB4223;CHALLENGE INTERNATIONAL EQUITY;20-SEP-2021;LHC;226794315.46;1610056412.2;19735209.540;11.492;11.576;-0.01;;EUR;0920164146;;;618486000000;1
IE0030608636;DB8810;DB4223;CHALLENGE INTERNATIONAL EQUITY;20-SEP-2021;SCA;90685732.99;1610056412.2;6357824.659;14.264;14.347;-0.01;;EUR;0920164146;;;91199000000;1
IE00B602Q215;DB8810;DB4223;CHALLENGE INTERNATIONAL EQUITY;20-SEP-2021;SHC;9305585.16;1610056412.2;423309.781;21.983;22.143;-0.01;;EUR;0920164146;;;618501000000;1
IE00B3BF0L54;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;LCA;153029126.98;1119583733.96;22280721.321;6.868;6.873;-0.;;EUR;0920172453;;;578981000000;1
IE00B7WJLM29;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;LDI;80001161.30;1119583733.96;16276090.024;4.915;4.918;-0.;;EUR;0920172453;;;453929000000;1
IE00B3BF0M61;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;LHC;70046614.03;1119583733.96;10714996.727;6.537;6.544;-0.;;EUR;0920172453;;;578984000000;1
IE00B7VTCC05;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;LHD;94489171.95;1119583733.96;20055009.306;4.711;4.715;-0.;;EUR;0920172453;;;453930000000;1
IE00B3BF0N78;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;SCA;193402865.74;1119583733.96;14639619.339;13.211;13.218;-0.;;EUR;0920172453;;;578985000000;1
IE00B8P30099;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;SDI;198606608.31;1119583733.96;20512525.156;9.682;9.689;-0.;;EUR;0920172453;;;453931000000;1
IE00B3BF0P92;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;SHC;64132837.07;1119583733.96;5106937.586;12.558;12.567;-0.;;EUR;0920172453;;;578986000000;1
IE00B8KGN042;DB3012;DB5108;PREMIUM COUPON COLLECTION;20-SEP-2021;SHD;265875348.58;1119583733.96;28827081.740;9.223;9.232;-0.;;EUR;0920172453;;;453932000000;1
IE00B943L826;DB3012;DB2015;INFRASTRUCTURE OPPORTUNITY COLLECTION;20-SEP-2021;LCA;143613181.35;442289953.21;21025283.012;6.83;6.855;-0.;;EUR;0920152938;;;751206000000;1
IE00B94H8N85;DB3012;DB2015;INFRASTRUCTURE OPPORTUNITY COLLECTION;20-SEP-2021;LDI;43031539.31;442289953.21;7326738.210;5.873;5.894;-0.;;EUR;0920152938;;;751218000000;1
