Fund Custody Code;External Fund Identifier;PTG Name;Trade Date;Settlement Date;Maturity Date;Transaction ID;Fund Manager Reference;Transaction Type;Transaction Description;Reversal Flag;Security Name;Collateral Counterparty Name;ISIN Code;Security Description;Quantity;Currency;Price;Gross Amount;Interest;Brokerage;Tax;Expenses;Net Amount;Buy Currency;Purchase Amount;Sell Currency;Sold Amount;FX Rate;Deposit Amount;Deposit Rate;No. of Days;Collateral Counterparty BIC Code;Fund Manager BIC Code;Bloomberg Code
15221;15156Z5908260COLIN;COUPON STRAT COLLECTION COLLATERAL;11/05/2017;12/05/2017;;015221SE00028000;SWBC 4416414-3336041;SE;CASH WITHDRAWAL;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;-3870000;;0;;0;0;0;0;0;FETALULL;;
19544;15167Z5908260COLIN;GLOBAL HIGH YIELD FUND-COLLAT-MSI;11/05/2017;12/05/2017;;019544SE00001000;SWBC 4416034-3335374;SE;CASH WITHDRAWAL;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;-150000;;0;;0;0;0;0;0;MSLNGB2X;;
15212;15168Z5908260COLIN;US COLLECTION COLLATERAL;11/05/2017;12/05/2017;;015212SE00010000;SWBC 4416502-3336049;SE;CASH WITHDRAWAL;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;-270000;;0;;0;0;0;0;0;FETALULL;;
20225;19053Z5908260COLIN;CHALLENGE NORTH AMER EQY COLLAT-MSI;11/05/2017;12/05/2017;;020225SE00002000;SWBC 4416035-3335380;SE;CASH WITHDRAWAL;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;-140000;;0;;0;0;0;0;0;MSLNGB2X;;
20226;19055Z5908260COLIN;CHALLENGE PACIFIC EQUITY COLLAT-MSI;12/05/2017;12/05/2017;;020226EE00002000;SWBC 4418458-3337819;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;110000;;0;;0;0;0;0;0;MSLNGB2X;;
18077;17169Z5921873COLIN;EQUILIBRIUM/18008/MSTANLEY/COL OTC;12/05/2017;12/05/2017;;018077EE00112000;SWBC GT5YIVJ2LUMAKG;EE;CASH DIRECT ENTRY;N;;MORGAN STANLEY AND CO. INTL PLC;;;0;EUR;0;0;0;0;0;0;320000;;0;;0;0;0;0;0;MSLNGB2X;;
15220;15157Z5908260COLIN;MEDIO DWS MEGATREND SLTN COLLATERAL;12/05/2017;15/05/2017;;015220SE00010000;SWBC 4418355-3337815;SE;CASH WITHDRAWAL;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;-250000;;0;;0;0;0;0;0;FETALULL;;
21234;#N/A;CHAL EUROPEAN BOND MAML-COLLAT-MS;12/05/2017;15/05/2017;;021234EE00001000;SWBC 4418942-3338102;EE;CASH DIRECT ENTRY;N;;;;;0;EUR;0;0;0;0;0;0;290000;;0;;0;0;0;0;0;;;
15210;15167Z5908260COLIN;GLOBAL HIGH YIELD COLLATERAL;12/05/2017;15/05/2017;;015210SE00030000;SWBC 4418385-3337817;SE;CASH WITHDRAWAL;N;;RBC INVESTOR SERVICES BANK S.A.;;;0;EUR;0;0;0;0;0;0;-350000;;0;;0;0;0;0;0;FETALULL;;
21235;#N/A;CHAL EURO INCOME MAML -COLLAT MS;12/05/2017;15/05/2017;;021235EE00001000;SWBC 4418950-3338103;EE;CASH DIRECT ENTRY;N;;;;;0;EUR;0;0;0;0;0;0;310000;;0;;0;0;0;0;0;;;
19642;15156Z5908260COLIN;COUPON STRATEGY COLLECT-COLLAT-MLI;12/05/2017;15/05/2017;;019642SE00028000;SWBC 4418351-3337814;SE;CASH WITHDRAWAL;N;;MERRILL LYNCH INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;-470000;;0;;0;0;0;0;0;MLILGB3L;;
19793;19044Z5908260COLIN;CH SOLIDITY & RETURN FUND-COLL-GSI;15/05/2017;16/05/2017;;019793EE00010000;SWBC 4420066-3339405;EE;CASH DIRECT ENTRY;N;;GOLDMAN SACHS INTERNATIONAL;;;0;EUR;0;0;0;0;0;0;340000;;0;;0;0;0;0;0;GSILGB2X;;
