Custody Code;Fund Web Code;Custody Fund Name;Closing Date;FOCUS Transaction Reference;External Transaction Reference;Transaction Type;Transaction BLS Type;Transaction Status;Transaction BLS Status;Security Folder;PTG Cash Account;PTG Cash Account Ccy;Settlement Mode;Trade Date;Contractual Settlement Date;Actual Settlement Date;Settlement Value Date;Creation Date;User Group;Source Sub-Custodian Name;Source Sub-Custodian Id;Portfolio Name;Source Cash Account;Source Cash Account Ccy;Source Security Id;Net Amount;Source Coupon Number Code;Source Coupon Number Amount;Source Coupon Number Label;Source Old Security Price Code;Source Old Security Price Amount;Source Old Security Price Label;Source Interest/DivIdend Rate Id;Source Interest/DivIdend Rate Amount;Source Interest/DivIdend Rate Label;Source Cash Amount Id;Source Cash Amount Amount;Source Cash Amount Label;Source Old Security Rate Id;Source Old Security Rate Amount;Source Old Security Rate Label;Source Multiple Proportion Old Security Id;Source Multiple Proportion Old Security Amount;Source Multiple Proportion Old Security Label;Destination Sub-Custodian Name;Destination Sub-Custodian Id;Destination No dossier titre;Destination Cash Account;Destination Cash Account Ccy;Destination Security Id;Destination Security Ccy;Destination New Security Smallest Denomination Code;Destination New Security Smallest Denomination Amount;Destination New Security Smallest Denomination Label;Destination New Security Price Code;Destination New Security Price Amount;Destination New Security Price Label;Destination New Security Price Code;Destination New Security Price Amount;Destination New Security Price Label;Destination Entitlement Calculation Code;Destination Entitlement Calculation Amount;Destination Entitlement Calculation Label;Destination New Security Proportion Code;Destination New Security Proportion Amount;Destination New Security Proportion Label;Destination Security Event Code;Amount/Rate;Indicator/Ccy;Issuance Fees Id;Issuance Fees Amount;Issuance Fees Ccy;Witholding Tax Id;Witholding Tax Amount;Witholding Tax Ccy;Rights Unit Price Id;Rights Unit Price Amount;Rights Unit Price Ccy;Stock Price Id;Stock Price Amount;Stock Price Ccy;Reinvestment Rate Id;Reinvestment Rate Amount;Reinvestment Rate Ccy;Ex-Date Holding Id;Ex-Date Holding Amount;Ex-Date Holding Ccy;Qty Securities Out Id;Qty Securities Out Amount;Qty Securities Out Ccy;Qty Securities in Id;Qty Securities in Amount;Qty Securities in Ccy;Qty Fractional Quantity Id;Qty Fractional Quantity Amount;Qty Fractional Quantity Ccy;Qty Odd Lot Quantity Id;Qty Odd Lot Quantity Amount;Qty Odd Lot Quantity Ccy;Gross Amount Id;Gross Amount Amount;Gross Amount Ccy;Witholding Tax Id;Witholding Tax Amount;Witholding Tax Ccy;Odd Lots Amount In Oper. Curr. Id;Odd Lots Amount In Oper. Curr. Amount;Odd Lots Amount In Oper. Curr. Ccy;Net Amount In Oper. Curr. Id;Net Amount In Oper. Curr. Amount;Net Amount In Oper. Curr. Ccy;Fund Curr. Net Amount Id;Fund Curr. Net Amount Amount;Fund Curr. Net Amount Ccy;Fractional compensation Id;Fractional compensation Amount;Fractional compensation Ccy;Net Amount In Oper. Curr. Id;Net Amount In Oper. Curr. Amount;Net Amount In Oper. Curr. Ccy;Event Code;Amount/Qty/Rate;Indicator/Ccy;Origin Security Name;Origin TK;Origin ISIN;Origin CUSIP;Origin CEDEL;Origin COVAJA;Origin SICOVAM;Origin SEDOL;Origin SVM;Origin WKN;Origin Reuter Security Code;Origin Bloomberg Security Code;Origin Sub product Code;Origin Economic Sector;Origin Geographic Sector;Origin IML Code;Origin Security Code (CH);Destination Security Name;Destination TK;Destination ISIN;Destination CUSIP;Destination CEDEL;Destination COVAJA;Destination SICOVAM;Destination SEDOL;Destination SVM;Destination WKN;Destination Reuter Security Code;Destination Bloomberg Security Code;Destination Sub product Code;Destination Economic Sector;Destination Geographic Sector;Destination IML Code;Destination Security Code (CH);External Fund Identifier;BB Code Original Security;BB Code New Security;Type Original Security;Type New Security
629;88160;MMEMMEMME EMEMMEMM MEMMEM EMEEME;42415;000629OGA2321000;979770;OG;61;30;30;81271174;;;A;42394;42394;42394;42394;42395;DU001;HONGKONG AND SHANGHAI BANKING COR.;Z9500156;51297368;;;19879000000;KRW;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;HONGKONG AND SHANGHAI BANKING COR.;Z9500156;51297368;50297368546;;19879000000;KRW;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;5;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;7479;;OSTQT02;-7479;;OSTQT03;37395;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTIN16;0;N;;0;;;0;;HANON SYSTEMS;5078290000;KR7018880005;;52948398;;946765;0;0;925738;;;SHS;50;KR;101;507829;HANON SYSTEMS;5078290000;KR7018880005;;52948398;;946765;0;0;925738;;;SHS;50;KR;101;507829;DB8816Z9397076;HLLAF US Equity;HLLAF US Equity;EQUITIES;EQUITIES
1780;42230;MMEMMEMME EMMM EMEEME;42397;001780OGA2832000;980783;OG;15;30;30;31547065;;;A;42397;42397;42397;42397;42397;DU001;THE BANK OF NEW YORK MELLON LONDON;Z9570037;41695026;;;9.76051E+11;GBP;;0;;;0;;;0;;;0;;OSTPX07;48;;OSTIN36;0;N;THE BANK OF NEW YORK MELLON LONDON;Z9570037;41695026;10057900137;;2.1876E+11;GBP;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;7;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;39237;;OSTQT02;-39237;;OSTQT03;5722;;OSTQT04;0.063;;;0;;;0;;;0;;;0;;;0;;;0;;OSTIN16;0;N;;0;;;0;;NEW MELROSE INDUSTRIES PLC ***;3.00E+11;GB00BYRJP462;;130727131;;0;0;0;0;;;SHS;48;GB;301;30030615;NEW MELROSE INDUSTRIES PLC;3.09E+11;GB00BZ1G4322;;134145960;;0;0;0;0;;;SHS;48;GB;101;30937860;DB4223Z9173803;;MROL IX Equity;EQUITIES;EQUITIES
1510;37870;MMEMMEMME MEMEMMEEM MM;42409;001510OGA1226000;981840;OG;16;30;30;51500372;;;A;42403;42409;42409;42409;42403;DU001;HSBC BANK AUSTRALIA LTD SYDNEY;Z9176051;99979028;;;6.41643E+11;AUD;;0;;;0;;;0;;;0;;OSTPX07;4;;OSTIN36;0;N;HSBC BANK AUSTRALIA LTD SYDNEY;Z9176051;99979028;71200035856;;2.20478E+11;AUD;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;113346;;;0;;OSTQT03;28336;;OSTQT04;0.5;;;0;;;0;;;0;;;0;;;0;;;0;;OSTIN16;0;N;;0;;;0;;NATIONAL AUSTRALIA BANK LTD;6416430000;AU000000NAB4;;11489532;8637;965719;6624608;7961878;853802;;;SHS;81;AU;101;641643;CYBG PLC /CHESS;3.07E+11;AU000000CYB7;;;;0;0;0;0;;;SHS;96;GB;101;30718413;DB3787Z9173803;NAB AU Equity;CYB AU Equity;EQUITIES;EQUITIES
1510;37870;MMEMMEMME MEMEMMEEM MM;42426;001510AOA0201000;981325;AO;36;30;30;51500372;;;A;42401;42426;42426;42426;42401;DU001;DBS BANK LTD SINGAPORE;Z9585229;1694199;;;1.41063E+11;SGD;;0;;;0;;;0;;OSTPX02;0.00332;SGD;OSTPX07;1;;OSTIN36;0;N;DBS BANK LTD SINGAPORE;Z9585229;1694199;90828610076;;1.41063E+11;SGD;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;103900;;OSTQT02;-103900;;OSTQT03;103900;;;0;;;0;;OSTMT01;344.95;SGD;;0;;;0;;OSTMT08;344.95;SGD;OSTMT09;344.95;SGD;OSTIN16;0;N;;0;;;0;;SUNTEC REAL ESTATE INV.TRUST;20127050000;SG1Q52922370;;20822490;;0;0;0;0;;;SHS;57;SG;101;2012705;SUNTEC REAL ESTATE INV.TRUST;20127050000;SG1Q52922370;;20822490;;0;0;0;0;;;SHS;57;SG;101;2012705;DB3787Z9173803;SUN SP Equity;SUN SP Equity;EQUITIES;EQUITIES
1780;42230;MMEMMEMME EMMM EMEEME;42394;001780OGA2828000;979358;OG;13;35;35;31547065;;;A;42394;42396;42396;42396;42394;DU001;BNP PARIBAS SECURITIES SERVICES MIL;Z9585332;99992711;;;5.77305E+11;EUR;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;BNP PARIBAS SECURITIES SERVICES MIL;Z9585332;99992711;76200087517;;2.17682E+11;EUR;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;601;;;0;;OSTQT03;601;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;SAIPEM SPA;5773050000;IT0000068525;;2079119;;5978;4768768;7666232;869060;;;SHS;34;IT;101;577305;RIGHT SAIPEM SPA 11.02.16;3.13E+11;IT0005160335;;0;;0;0;0;0;;;SHS;34;IT;101;31253244;DB4223Z9173803;SPM IM Equity;SPMAXA IM Equity;EQUITIES;EQUITIES
12211;DB232601;MEMEEMEME MEMM - MEMM;42398;012211RB00363000;980960;RB;76;35;35;99990821;;;C;42402;42402;42402;42402;42398;DU001;CLEARSTREAM BANKING SA LUXEMBOURG;Z9998306;51702442;;;5.04781E+11;EUR;;0;;;0;;OSTPX01;100;EUR;;0;;;0;;;0;;;;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;2000000;;OSTQT02;-2000000;;;0;;;0;;;0;;OSTMT01;2000000;EUR;;0;;;0;;OSTMT08;2000000;EUR;OSTMT09;2000000;EUR;;0;;;0;;;0;;MEDIOBANCA 3,75% 02.02.16(RBG);24240450000;XS0242820586;;24282058;;0;0;0;0;;;BON;81;IT;103;2424045;;;;;;;0;0;0;0;;;;0;;;0;DB2326Z8719429;;;BONDS;
1780;42230;MMEMMEMME EMMM EMEEME;42417;001780OGA2844000;983059;OG;60;30;30;31547065;;;A;42410;42410;42410;42410;42411;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;9.33812E+11;USD;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;23200285475;;9.33812E+11;USD;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;4742;;;0;;OSTQT03;4742;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTIN16;0;N;;0;;;0;;HORMEL FOODS CORPORATION;9338120000;US4404521001;440452100;9976060;;946492;2437264;6263065;850875;;;SHS;61;US;101;933812;HORMEL FOODS CORPORATION;9338120000;US4404521001;440452100;9976060;;946492;2437264;6263065;850875;;;SHS;61;US;101;933812;DB4223Z9173803;HRL US Equity;HRL US Equity;EQUITIES;EQUITIES
1064;30152;MMEMEM MEMM EEEMM 8;42439;001064RBA0573000;990256;RB;77;35;35;71369566;;;C;42443;42443;42443;42443;42439;DU001;THE BANK OF NEW YORK MELLON NEW YOR;Z8825098;99975015;;;6.81E+11;USD;;0;;;0;;OSTPX01;104.063;USD;;0;;;0;;;0;;;;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;900000;;OSTQT02;-900000;;;0;;;0;;;0;;OSTMT01;936567;USD;;0;;;0;;OSTMT08;936567;USD;OSTMT09;936567;USD;;0;;;0;;;0;;PBH 8,125% 12-01.02.20;1.91E+11;US74112BAH87;74112BAH8;81512094;;0;0;0;0;;;BON;66;US;203;19056375;;;;;;;0;0;0;0;;;;0;;;0;DB3015Z8717280;;;BONDS;
1780;42230;MMEMMEMME EMMM EMEEME;42395;001780OGA2826000;978292;OG;14;30;30;31547065;;;A;42388;42388;42388;42388;42388;DU001;RBC IS ESPANA SA MADRID;Z9214234;91704103;;;2.13818E+11;EUR;;0;;;0;;;0;;;0;;;0;;;0;;;;;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;OSTQT01;83;;OSTQT02;-83;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;RIGHT BCO POP ESP 20.01.16;3.10E+11;ES06137909A6;;134285958;;0;0;0;0;;;SHS;81;ES;101;30990606;;;;;;;0;0;0;0;;;;0;;;0;DB4223Z9173803;;;EQUITIES;
629;88160;MMEMMEMME EMEMMEMM MEMMEM EMEEME;42417;000629OGA2327000;984961;OG;17;30;30;81271174;;;A;42415;42415;42415;42415;42417;DU001;SOCIETE GENERALE JOHANNESBOURG;Z9384522;99987651;;;7.66066E+11;ZAR;;0;;;0;;;0;;;0;;OSTPX07;1;;OSTIN36;0;N;SOCIETE GENERALE JOHANNESBOURG;Z9384522;99987651;94200145911;;7.66066E+11;ZAR;OSTXX22;0;;;0;;;0;;OSTIN18;0;D;OSTPX06;1;;;0;;;0;;;0;;;0;;OSTCS04;202.56855;ZAR;;0;;OSTQT01;49884;;;0;;OSTQT03;49884;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;MEDICLINIC INTERNATIONAL PLC;2.16E+11;GB00B8HX8Z88;;94770084;;0;0;0;0;;;SHS;88;GB;101;21595896;MEDICLINIC INTERNATIONAL PLC;2.16E+11;GB00B8HX8Z88;;94770084;;0;0;0;0;;;SHS;88;GB;101;21595896;DB8816Z9397076;MDCL LN Equity;MDCL LN Equity;EQUITIES;EQUITIES
